iter	Passed	Remaining
0	5	6150
1	10	6118
2	15	6108
3	20	6070
4	25	6059
5	31	6297
6	39	6668
7	45	6788
8	50	6666
9	54	6523
10	59	6444
11	64	6368
12	68	6266
13	73	6204
14	77	6132
15	83	6148
16	87	6115
17	92	6063
18	96	6016
19	101	5980
20	105	5942
21	110	5902
22	114	5883
23	119	5851
24	123	5827
25	129	5839
26	133	5812
27	138	5789
28	143	5781
29	147	5763
30	152	5741
31	157	5731
32	161	5707
33	165	5689
34	170	5681
35	175	5663
36	179	5646
37	184	5639
38	188	5625
39	193	5608
40	198	5599
41	203	5611
42	209	5638
43	214	5648
44	219	5645
45	225	5646
46	230	5650
47	236	5667
48	242	5705
49	250	5752
50	254	5740
51	259	5726
52	264	5716
53	268	5701
54	273	5697
55	278	5688
56	283	5675
57	287	5665
58	292	5659
59	297	5653
60	302	5650
61	307	5649
62	312	5646
63	317	5639
64	323	5640
65	328	5637
66	333	5633
67	338	5642
68	345	5657
69	350	5659
70	356	5664
71	361	5665
72	366	5665
73	372	5663
74	377	5655
75	382	5655
76	387	5651
77	392	5639
78	397	5633
79	402	5637
80	408	5638
81	413	5637
82	419	5640
83	425	5647
84	430	5650
85	436	5651
86	442	5655
87	447	5658
88	455	5684
89	460	5676
90	464	5665
91	469	5653
92	474	5644
93	478	5631
94	483	5625
95	488	5615
96	492	5604
97	497	5594
98	502	5586
99	506	5575
100	511	5566
101	516	5559
102	520	5548
103	525	5539
104	530	5533
105	535	5523
106	539	5514
107	544	5507
108	549	5496
109	553	5487
110	558	5481
111	563	5472
112	567	5462
113	572	5456
114	577	5446
115	581	5438
116	587	5434
117	592	5428
118	596	5421
119	601	5414
120	606	5407
121	611	5399
122	615	5393
123	620	5386
124	625	5377
125	630	5371
126	635	5366
127	640	5360
128	645	5358
129	650	5356
130	656	5355
131	663	5366
132	670	5378
133	682	5426
134	686	5418
135	691	5409
136	696	5400
137	700	5394
138	705	5384
139	710	5376
140	715	5371
141	719	5363
142	724	5355
143	729	5349
144	734	5340
145	738	5332
146	743	5327
147	748	5319
148	753	5311
149	758	5309
150	763	5300
151	767	5292
152	772	5285
153	776	5277
154	781	5270
155	786	5263
156	791	5255
157	795	5246
158	800	5240
159	804	5231
160	809	5224
161	814	5218
162	818	5209
163	823	5201
164	828	5194
165	832	5187
166	837	5179
167	843	5179
168	848	5174
169	853	5170
170	858	5168
171	865	5170
172	870	5167
173	875	5161
174	879	5154
175	884	5147
176	889	5141
177	893	5132
178	898	5127
179	904	5123
180	908	5115
181	913	5111
182	919	5108
183	924	5103
184	929	5097
185	934	5091
186	939	5087
187	945	5090
188	952	5094
189	959	5098
190	964	5097
191	970	5094
192	975	5089
193	984	5103
194	990	5102
195	996	5105
196	1001	5100
197	1009	5108
198	1014	5103
199	1019	5099
200	1028	5110
201	1032	5103
202	1039	5105
203	1046	5108
204	1052	5108
205	1062	5125
206	1068	5127
207	1074	5122
208	1079	5119
209	1086	5121
210	1094	5128
211	1100	5126
212	1106	5128
213	1111	5122
214	1117	5118
215	1124	5122
216	1130	5120
217	1137	5124
218	1143	5124
219	1149	5120
220	1154	5113
221	1159	5109
222	1164	5101
223	1169	5094
224	1174	5087
225	1178	5079
226	1183	5072
227	1188	5067
228	1193	5059
229	1197	5051
230	1202	5044
231	1207	5037
232	1211	5029
233	1216	5023
234	1221	5015
235	1226	5008
236	1231	5003
237	1236	4996
238	1240	4989
239	1245	4983
240	1250	4976
241	1255	4969
242	1260	4964
243	1265	4957
244	1270	4953
245	1276	4950
246	1282	4947
247	1287	4944
248	1293	4939
249	1299	4938
250	1306	4940
251	1312	4935
252	1317	4930
253	1322	4925
254	1327	4919
255	1332	4915
256	1338	4909
257	1343	4903
258	1348	4897
259	1353	4892
260	1357	4885
261	1362	4877
262	1367	4871
263	1371	4863
264	1376	4856
265	1381	4849
266	1385	4841
267	1390	4834
268	1395	4828
269	1399	4820
270	1404	4813
271	1410	4812
272	1415	4807
273	1421	4803
274	1426	4799
275	1431	4793
276	1437	4789
277	1443	4786
278	1448	4781
279	1453	4775
280	1459	4772
281	1465	4769
282	1470	4765
283	1476	4762
284	1482	4760
285	1489	4758
286	1497	4762
287	1503	4762
288	1510	4760
289	1516	4758
290	1522	4755
291	1528	4752
292	1534	4749
293	1539	4744
294	1545	4741
295	1550	4736
296	1556	4733
297	1562	4729
298	1568	4726
299	1574	4722
300	1579	4718
301	1585	4715
302	1591	4712
303	1598	4710
304	1603	4706
305	1609	4702
306	1615	4697
307	1620	4694
308	1627	4692
309	1633	4689
310	1638	4684
311	1645	4682
312	1650	4677
313	1655	4672
314	1661	4667
315	1666	4662
316	1671	4657
317	1678	4654
318	1683	4650
319	1689	4646
320	1695	4642
321	1701	4638
322	1708	4639
323	1714	4635
324	1719	4629
325	1725	4625
326	1730	4620
327	1736	4615
328	1739	4606
329	1745	4601
330	1751	4597
331	1756	4591
332	1761	4585
333	1766	4581
334	1772	4576
335	1777	4571
336	1783	4567
337	1788	4562
338	1794	4557
339	1800	4553
340	1805	4548
341	1811	4544
342	1817	4540
343	1822	4534
344	1827	4530
345	1833	4525
346	1839	4521
347	1844	4516
348	1849	4510
349	1855	4506
350	1861	4501
351	1867	4498
352	1872	4492
353	1877	4486
354	1882	4480
355	1884	4468
356	1890	4465
357	1896	4460
358	1902	4455
359	1907	4450
360	1913	4446
361	1920	4445
362	1926	4443
363	1932	4438
364	1938	4434
365	1943	4428
366	1948	4422
367	1952	4415
368	1956	4404
369	1960	4397
370	1965	4391
371	1970	4385
372	1975	4378
373	1979	4372
374	1982	4361
375	1987	4354
376	1991	4347
377	1996	4341
378	2001	4334
379	2005	4328
380	2010	4322
381	2015	4316
382	2020	4309
383	2025	4304
384	2030	4297
385	2033	4287
386	2037	4281
387	2042	4275
388	2047	4268
389	2052	4262
390	2056	4255
391	2061	4249
392	2066	4244
393	2072	4239
394	2077	4233
395	2081	4226
396	2086	4220
397	2091	4214
398	2096	4208
399	2101	4203
400	2106	4197
401	2111	4192
402	2117	4187
403	2122	4182
404	2127	4176
405	2133	4172
406	2138	4165
407	2142	4159
408	2147	4154
409	2152	4147
410	2157	4141
411	2162	4135
412	2166	4129
413	2171	4122
414	2176	4116
415	2181	4110
416	2185	4103
417	2190	4098
418	2195	4092
419	2200	4086
420	2205	4080
421	2209	4074
422	2214	4067
423	2219	4062
424	2224	4056
425	2229	4050
426	2234	4045
427	2239	4039
428	2245	4034
429	2250	4029
430	2255	4024
431	2260	4018
432	2265	4012
433	2270	4007
434	2275	4002
435	2281	3998
436	2286	3992
437	2291	3987
438	2296	3980
439	2301	3974
440	2306	3969
441	2312	3965
442	2317	3959
443	2322	3954
444	2328	3951
445	2333	3944
446	2338	3938
447	2343	3933
448	2347	3927
449	2352	3920
450	2357	3915
451	2362	3909
452	2367	3903
453	2372	3898
454	2377	3892
455	2381	3885
456	2386	3880
457	2391	3873
458	2395	3867
459	2400	3862
460	2405	3856
461	2410	3850
462	2415	3844
463	2419	3838
464	2424	3832
465	2430	3827
466	2434	3821
467	2439	3815
468	2444	3809
469	2449	3803
470	2453	3797
471	2458	3791
472	2463	3785
473	2467	3779
474	2472	3774
475	2478	3769
476	2482	3763
477	2487	3757
478	2492	3751
479	2496	3745
480	2502	3740
481	2507	3735
482	2513	3730
483	2518	3725
484	2523	3720
485	2528	3714
486	2534	3710
487	2540	3706
488	2544	3699
489	2549	3694
490	2554	3688
491	2559	3682
492	2563	3676
493	2568	3671
494	2573	3664
495	2577	3659
496	2582	3653
497	2587	3647
498	2591	3641
499	2596	3635
500	2601	3629
501	2606	3623
502	2611	3618
503	2616	3612
504	2620	3606
505	2625	3600
506	2630	3595
507	2634	3589
508	2639	3583
509	2644	3578
510	2649	3572
511	2654	3567
512	2659	3561
513	2663	3555
514	2668	3549
515	2673	3543
516	2677	3537
517	2682	3531
518	2687	3525
519	2691	3520
520	2696	3514
521	2701	3509
522	2706	3503
523	2711	3498
524	2717	3493
525	2722	3488
526	2727	3482
527	2732	3477
528	2737	3472
529	2743	3467
530	2748	3463
531	2755	3460
532	2761	3455
533	2766	3450
534	2771	3444
535	2776	3439
536	2781	3433
537	2785	3427
538	2790	3421
539	2795	3416
540	2799	3410
541	2804	3404
542	2809	3398
543	2813	3393
544	2818	3387
545	2823	3382
546	2828	3376
547	2832	3370
548	2837	3364
549	2841	3358
550	2846	3352
551	2851	3347
552	2856	3341
553	2860	3335
554	2865	3329
555	2870	3324
556	2875	3319
557	2880	3314
558	2885	3308
559	2890	3303
560	2894	3297
561	2899	3292
562	2904	3286
563	2909	3280
564	2915	3276
565	2920	3271
566	2926	3266
567	2932	3262
568	2938	3258
569	2941	3250
570	2946	3245
571	2953	3242
572	2959	3237
573	2963	3232
574	2968	3226
575	2973	3221
576	2977	3215
577	2982	3209
578	2987	3203
579	2991	3198
580	2996	3192
581	3001	3186
582	3006	3181
583	3011	3175
584	3015	3170
585	3020	3164
586	3024	3158
587	3029	3153
588	3034	3148
589	3039	3142
590	3044	3137
591	3064	3147
592	3071	3143
593	3079	3141
594	3085	3137
595	3090	3131
596	3095	3126
597	3101	3121
598	3106	3116
599	3111	3111
600	3116	3106
601	3122	3101
602	3127	3096
603	3132	3091
604	3138	3086
605	3143	3081
606	3148	3076
607	3153	3070
608	3158	3064
609	3163	3059
610	3167	3053
611	3172	3048
612	3177	3042
613	3182	3037
614	3187	3031
615	3193	3027
616	3199	3022
617	3205	3018
618	3210	3013
619	3216	3008
620	3222	3004
621	3227	2999
622	3233	2994
623	3238	2989
624	3244	2984
625	3249	2979
626	3255	2975
627	3259	2968
628	3264	2963
629	3269	2958
630	3274	2952
631	3279	2947
632	3284	2941
633	3288	2936
634	3293	2930
635	3298	2924
636	3303	2919
637	3308	2914
638	3314	2909
639	3320	2905
640	3325	2900
641	3330	2895
642	3336	2890
643	3342	2885
644	3347	2880
645	3352	2875
646	3357	2869
